"formula","r.squared","adj.r.squared","AIC","BIC","Model.pValue","F.Statistic","training.mape","predicted.mape","training.minmax.accuracy","predicted.minmax.accuracy","influential.obs","k_fold_ms"
"response ~ InversionBaseHeight",0.305456253814638,0.303036240761728,1924.57296573137,1935.57224579571,1.62437741769779e-24,126.220911679485,69.4162897512508,63.1433006632442,0.654252988544756,0.674592733613079,"8 20 64 78 110 161 163 166 181 182 187 195 207 221 277",42.5132335702815
"response ~ PressureHeight",0.395680289918851,0.393574646329718,1884.35810406892,1895.35738413326,3.04412670908527e-33,187.914180709845,71.2776967890034,87.0434780680345,0.639757316033972,0.600246510984948,"8 20 47 64 78 110 166 182 200 221 223 240 268 277",39.7072598916009
"response ~ Humidity",0.193788117895384,0.190979017260874,1967.66039169027,1978.65967175461,3.9661920213582e-15,68.9858225492618,84.3721671208385,105.593202633308,0.637109566578086,0.630448480450279,"8 20 64 78 110 130 144 166 182 221 243 252 260",50.5864205211076
"response ~ PressureGradient",0.0577260554728258,0.0544428709971214,2012.72978416107,2023.72906422541,3.66923960466575e-05,17.5823368744579,93.2880847642742,116.304906834693,0.594286477413348,0.581115268853675,"8 10 19 64 94 110 117 166 188 221 242",59.5196516920762
"response ~ InversionBaseHeight + PressureHeight",0.460500348539383,0.456727623703994,1853.56780554604,1868.23351229849,4.72864910485125e-39,122.060412203879,66.6049552975339,69.2591038916107,0.640927641625358,0.626217472656522,"8 20 47 78 166 181 182 187 195 200 221 223 240",34.6984903933864
"response ~ InversionBaseHeight + Humidity",0.403737055039314,0.399567384095533,1882.47925397362,1897.14496072607,7.71984120962424e-33,96.8270783193287,71.1242653318585,69.3952168603458,0.631637218508696,0.66567319981239,"8 20 41 78 105 130 163 166 181 182 187 195 221 252 277",36.5773547737371
"response ~ InversionBaseHeight + PressureGradient",0.376689922170505,0.372331110437432,1895.29997589711,1909.96568264956,4.39231287212174e-30,86.420323986992,68.9741113347647,64.6923252977078,0.635396679038916,0.67796250383398,"8 41 78 94 103 110 163 166 181 182 187 195 221",38.3730510187797
"response ~ PressureHeight + Humidity",0.552357827668589,0.549227462827111,1799.62654861311,1814.29225536556,1.21096678744834e-50,176.45158172928,59.93256877703,80.6525345094403,0.662076430072519,0.618437014910034,"8 20 53 59 64 78 105 166 182 221 240 260 277",29.4540654299891
"response ~ PressureHeight + PressureGradient",0.50564390797354,0.502186872364963,1828.31323793905,1842.9789446915,1.7689042592236e-44,146.265172021681,62.5078361512619,81.092969107696,0.648361402045353,0.633397020631393,"8 20 59 64 78 94 110 166 182 188 211 221 240",32.8899319791736
"response ~ Humidity + PressureGradient",0.196646778956977,0.191028924264369,1968.63383623893,1983.29954299138,2.5213615387973e-14,35.0038920044882,84.4452385042856,104.309826908549,0.636830685032805,0.633206743359363,"8 56 78 94 101 105 110 163 166 221 243 252 260",50.2764981195126
"response ~ InversionBaseHeight + PressureHeight + Humidity",0.578516119603387,0.57407944717816,1784.22509059402,1802.55722403458,3.49982999589747e-53,130.394147720681,58.4137145928996,69.4882559332551,0.660351362530617,0.640156234513746,"8 15 53 78 90 105 127 166 181 182 187 195 211 221 240 260 271",27.1645287406191
"response ~ InversionBaseHeight + PressureHeight + PressureGradient",0.565071329783902,0.560493133255311,1793.2998373604,1811.63197080096,3.03588067036718e-51,123.426621433805,58.6211023415005,62.4276130308949,0.650493776333123,0.683603285454629,"8 20 59 78 110 166 182 187 188 195 211 221 240",27.9900402344509
"response ~ InversionBaseHeight + Humidity + PressureGradient",0.409476635374214,0.403260599957101,1881.68388696314,1900.0160204037,2.18810469832777e-32,65.8742442565357,71.5415423835674,68.7031100931936,0.621952565543751,0.670274452129709,"8 41 78 101 103 105 110 127 163 166 181 182 195 221 252",36.5159584136874
"response ~ PressureHeight + Humidity + PressureGradient",0.561327704828609,0.556710101721542,1795.77674450131,1814.10887794187,1.0262855841717e-50,121.562570843192,58.7092950800317,78.8278598966364,0.663357240759231,0.634407922165389,"8 53 59 78 105 110 122 127 166 182 188 195 211 221 240 260 277",29.0631287567876
"response ~ InversionBaseHeight + PressureHeight + Humidity + PressureGradient",0.594241772911946,0.588526868305073,1775.23613989895,1797.23470002762,2.01989817897854e-54,103.981048467053,56.7311119234498,65.4104868020948,0.660885423764713,0.668107614200625,"8 59 105 110 127 166 182 187 195 211 221 240 260 271",26.3012057778467
